Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Proteins_Avg;Lipids_Avg;Vitamin_Mineral_Premix;Digestible_Energy;Period Feed Qty;Model Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;PRODUCT TYPE;GROUPING PROD. BGT
GREECE;PETALAS;PE_02;L29/3/12-HEL;BASS;4.88;5.04;HELENIC;;2012;March;08/03/13;31/03/13;165.77;172;170.8;0.7;171.12;171.86;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;1250;1512.727603;17.37;82356;13652.15412;82031;14109.332;0;0;0;457.17788;384.9906;2.734165529;3.24683252;375;576;34.9;0.39;0.39;0.16;887.5;1.183;BIG;GR BASS SMOOTHLY;PE_02\L29/3/12-HEL;Unchecked;;0;10;15.04;0;0;1;0;1;1275;1.530502005;2.209337601;1189;A 1-300;A 1-300;;
GREECE;PETALAS;PE_05;L1/12/12A-NHR;BASS;1.88;2.53;NIREUS;;2012;December;31/03/13;30/04/13;17;23;22.89;0.48;22.88;24.44;GR IR. POW. 2;POWER;IRIDA;0.44;0.19;0.03;19.20;1036;1313.647051;21.14;110570;1879.69;109915;2528.045;0;0;0;648.355;635.1652;1.597890045;1.631071727;655;1209;45.82;1.58;1.58;1.01;1036;1.7;;GR BASS SMOOTHLY;PE_05\L1/12/12A-NHR;Unchecked;;0;2;15.92;0;0;0;0;2;13375;10.8484062;2.027958259;1616;A 1-300;A 1-300;;
GREECE;PETALAS;PE_15;L1/12/12B-NHR;BASS;0.93;1.32;NIREUS;;2012;December;31/03/13;30/04/13;13;18.7;18.13;3.14;18.19;19.5;GR IR. POW. 2;POWER;IRIDA;0.44;0.19;0.03;19.20;570;721.6748566;21.02;71450;928.85;70555;1319.3785;0;0;0;390.5285;354.54545;1.45956057;1.607692328;895;775;-15.48;1.71;1.73;1.21;567;1.7;;GR BASS SMOOTHLY;PE_15\L1/12/12B-NHR;Unchecked;;0;2;15.92;0;0;0;0;2;7065;9.102035558;1.939381617;449;C 365-600;C 365-600;;
GREECE;PETALAS;PE_08;L10/4/12A-NHR;BASS;5.32;5.83;NIREUS;;2012;April;31/03/13;30/04/13;185;204;202.27;0.86;202.52;201.84;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;3125;3038.706843;-2.84;80558;14903.23;79993;16318.572;0;0;0;1415.342;1296.95236;2.207946913;2.409494825;565;726;22.18;0.67;0.67;0.33;3125;1.184;;GR BASS SMOOTHLY;PE_08\L10/4/12A-NHR;Unchecked;;0;6;15.92;0;0;0;0;2;1890;2.308171415;2.980555407;708;A 1-300;A 1-300;;
GREECE;PETALAS;PE_04;L10/4/12B-NHR;BASS;5.53;6.03;NIREUS;;2012;April;31/03/13;30/04/13;174;191;190.32;0.36;190.4;190.76;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;3225;3292.095029;2.04;88914;15471.036;88349;16874.659;0;0;0;1403.623;1350.6136;2.297625502;2.387803588;565;806;29.9;0.67;0.67;0.31;3225;1.184;;GR BASS SMOOTHLY;PE_04\L10/4/12B-NHR;Unchecked;;0;6;15.92;0;0;0;0;2;2270;2.504993434;3.009312696;490;A 1-300;A 1-300;;
GREECE;PETALAS;PE_03;L12/6/12A-NHR;BASS;4.33;4.8;NIREUS;;2012;June;31/03/13;30/04/13;150;167;166.74;0.16;166.77;166.04;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;2950;2792.901045;-5.62;80864;12129.6;80414;13429.138;0;0;0;1299.538;1281.04278;2.270037506;2.302811464;450;744;39.52;0.77;0.77;0.36;2950;1.184;;GR BASS SMOOTHLY;PE_03\L12/6/12A-NHR;Unchecked;;0;6;15.92;0;0;0;0;2;2470;2.98006853;2.856116748;65;A 1-300;A 1-300;;
GREECE;PETALAS;PE_12;L12/6/12B-NHR;BASS;4.4;4.88;NIREUS;;2012;June;31/03/13;30/04/13;159;178;176.19;1.03;176.25;175.34;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;2912.5;2744.652321;-6.12;77404;12307.236;76764;13663.992;0;0;0;1356.756;1222.419;2.146664544;2.382570952;640;713;10.24;0.75;0.75;0.38;2912.5;1.184;;GR BASS SMOOTHLY;PE_12\L12/6/12B-NHR;Unchecked;;0;6;15.92;0;0;0;0;2;7490;8.889785648;3.858970948;2010;A 1-300;A 1-300;;
GREECE;PETALAS;PE_07;L16/6/12A-HEL;BASS;3.69;4.16;HELENIC;;2012;June;31/03/13;30/04/13;139;158;154.41;2.32;154.39;154.61;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;2462.5;2457.563976;-0.2;74244;10319.916;73754;11653.132;0;0;0;1333.216;1066.96406;1.847037539;2.307950279;490;682;28.15;0.75;0.76;0.43;2462.5;1.184;;GR BASS SMOOTHLY;PE_07\L16/6/12A-HEL;Unchecked;;0;6;15.92;0;0;0;0;2;2975;3.877282383;2.715431304;953;A 1-300;A 1-300;;
GREECE;PETALAS;PE_04;L16/6/12B-HEL;BASS;2.95;3.35;HELENIC;;2012;June;31/03/13;30/04/13;119;136;135.13;0.64;135.39;133.56;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;2337.5;2076.971286;-12.54;69415;8260.385;68955;9377.88;0;0;0;1117.495;1075.43245;2.091731954;2.173544233;460;620;25.81;0.88;0.89;0.45;2337.5;1.184;;GR BASS SMOOTHLY;PE_04\L16/6/12B-HEL;Unchecked;;0;6;15.92;0;0;0;0;2;4650;5.621509224;5.404672356;1859;A 1-300;A 1-300;;
GREECE;PETALAS;PE_17;L17/8/12A-NHR;BASS;7.76;9.05;NIREUS;;2012;August;31/03/13;30/04/13;96;113;111.06;1.75;111.32;108.97;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;2462.5;2074.420445;-18.71;80824;7759.104;80119;9053.447;0;0;0;1294.343;1159.74308;1.902509613;2.123315105;705;744;5.24;0.98;0.99;0.54;2462.5;1.184;;GR BASS SMOOTHLY;PE_17\L17/8/12A-NHR;Unchecked;;0;6;15.92;0;0;0;0;2;3455;4.601758125;2.053463567;409;A 1-300;A 1-300;;
