Middle,Region,Site,Unit,Batch,Species,Start Fish Density,End Fish Density,Hatchery,Lot Quality,Origin Year,Origin Month,From,To,Start Av. Wt.,End Av.Wt.,Model End Av. Wt. Act. Feed,Av. Wt. Deviation (%),Av. Wt. Before Sampl.,Model End Av. Wt. Sugg. Feed,Actual Feed,Feed Category,Supplier,Period Feed Qty,Model Feed Qty,Feed Deviation (%),Opening Fish No,Opening Biomass,Closing Fish No,Closing Biomass,Harvest Biomass,Transfer - (Kg),Transfer + (Kg),Biomass Produced,Biomass Produced Before Sampl.,Econ. FCR Period,Econ FCR Period Before Sampl.,Mortality No,Model Mortality No,Mortality Deviation (%),SFR Period (%),SFR Period (%) Before Sampl.,SGR Period (%),Max Feed Qty,Food Price,Current Grading,Feeding Policy,Group Tag,Vaccinated,Feeder,Feeding Rate (Kg / Hour),Fastings No,Avg. Temp.,Avg. Oxygene,Transfer - (No),Transfer + (No),Harvest (No),Sampling (No),LTD Mortality No,LTD Mortality %,LTD Econ. FCR,Period Day Degrees,Start Av. Weight Category,End Av. Weight Category
1394231400000,REGION1,SITE1,121_K10,121_TS_0913_99,TSIPOURA,,2.18,KASTELLA,,2013,December,2/12/2014,3/31/2014,58,77.55,72.7,6.67,62.88,58,BL 3.5 BREAM,VLUE LINE,FEEDUS,1425,0,0,62800,3642.4,62170,4821.2835,0,0,0,1178.8835,266.8496,1.208770841,5.340086701,630,0,0,0.72,0.8,0.62,585,0,V,TSIPOURA 2014,,Unchecked,,0,0,14.67,0,0,1,0,2,1171.29,1.779746275,4.474823659,621,50-100,50-100
1394231400001,REGION1,SITE1,121_S5,121_TS_0913_99,TSIPOURA,,2.64,KASTELLA,,2013,December,2/12/2014,3/31/2014,85,102.96,98.31,4.73,89.52,85,"BLUELINE 3,5 mm",VLUE LINE,FEEDUS,1415,0,0,62500,5312.5,61950,6378.372,0,0,0,1065.872,233.264,1.327551526,6.066088209,550,0,0,0.52,0.55,0.41,835,0,A,TSIPOURA 2015,,Unchecked,,0,0,14.67,0,0,1,0,2,1088.7,1.662193234,1.121802719,621,50-100,100-150
1394447400000,REGION1,SITE1,121_02-0-0,121_TS_0913_99,TSIPOURA,,,KASTELLA,,2013,December,2/17/2014,3/31/2014,42,61.26,53.68,14.12,45.04,42,"BLUELINE 2,5 mm",VLUE LINE,FEEDUS,1129,0,0,63800,2679.6,63070,3863.6682,0,0,0,1184.0682,161.0728,0.953492375,7.009252959,730,0,0,0.83,0.97,0.9,1124,0,G,TSIPOURA 2014,,Unchecked,,0,0,14.67,0,0,1,0,2,1482.95,2.203205706,5.109538144,606,20-50,50-100
1395138600000,REGION1,SITE1,121_K5,121_TS_0913_99,TSIPOURA,1.7,2.05,KASTELLA,,2013,December,3/5/2014,3/31/2014,65,79.07,71.33,10.85,65.25,65,BL 3.5 BREAM,VLUE LINE,FEEDUS,620,0,0,63050,4098.25,62690,4956.8983,0,0,0,858.6483,-7.7275,0.722065134,-80.23293433,360,0,0,0.53,0.58,0.75,530,0,A,TSIPOURA 2014,,Unchecked,,0,0,14.65,0,0,1,0,1,1357.04,2.032067384,1.331894959,309,50-100,50-100
1395570600000,REGION1,SITE1,121_T10,121_TS_0314_102,TSIPOURA,,0.43,CHILIADOU,,2014,March,3/15/2014,3/31/2014,2.1,2.3,2.36,-2.54,2.33,2.1,"MICROLINE 0,8-1,3 mm",MICROLINE,FEEDUS,46,0,0,150000,315,149060,342.838,0,0,0,27.838,32.3098,1.652417559,1.423716643,940,0,0,0.87,0.87,0.57,46,0,-,TSIPOURA 2014,,Unchecked,,0,0,14.72,0,0,0,0,1,940,0.626666667,1.418923773,150,0-20,0-20
1395570600001,REGION1,SITE1,121_T9,121_TS_0314_102,TSIPOURA,0.36,0.46,CHILIADOU,,2014,March,3/15/2014,3/31/2014,2.4,3.08,3.09,-0.32,3.02,2.4,"MICROLINE 0,8-1,3 mm",MICROLINE,FEEDUS,97,0,0,119625,287.1,118875,366.135,0,0,0,79.035,71.9025,1.227304359,1.349049059,1125,0,0,1.87,1.88,1.56,97,0,-,TSIPOURA 2014,,Unchecked,,0,0,14.72,0,0,0,0,1,1125,0.9375,1.081461573,238,0-20,0-20
1397556000000,REGION1,SITE1,121_K10,121_TS_0913_99,TSIPOURA,2.18,2.62,KASTELLA,,2013,December,3/31/2014,4/30/2014,77.55,93.55,91.56,2.17,78.17,77.55,BL 3.5 BREAM,VLUE LINE,FEEDUS,1385,0,0,62170,4821.2835,61850,5786.0675,0,0,0,964.784,13.531,1.435554487,102.3575493,320,0,0,0.87,0.96,0.63,1265,0,V,TSIPOURA 2014,,Unchecked,,0,0,15.17,0,0,0,0,2,1491.29,2.265978385,2.523922709,442,50-100,50-100
1397556000001,REGION1,SITE1,121_K5,121_TS_0913_99,TSIPOURA,2.05,2.32,KASTELLA,,2013,December,3/31/2014,4/30/2014,79.07,89.85,92.18,-2.53,79.48,79.07,BL 3.5 BREAM,VLUE LINE,FEEDUS,1315,0,0,62690,4956.8983,62355,5602.59675,0,0,0,645.69845,-0.9229,2.03655437,-1424.856431,335,0,0,0.83,0.88,0.43,1140,0,A,TSIPOURA 2014,,Unchecked,,0,0,15.17,0,0,0,0,2,1692.04,2.533705194,1.538577022,442,50-100,50-100
1397556000002,REGION1,SITE1,121_S5,121_TS_0913_99,TSIPOURA,2.64,3.01,KASTELLA,,2013,December,3/31/2014,4/30/2014,102.96,117.57,118.33,-0.64,103.76,102.96,BL 3.5 BREAM,VLUE LINE,FEEDUS,1685,0,0,61950,6378.372,61750,7259.9475,0,0,0,881.5755,28.808,1.911350758,58.49069703,200,0,0,0.82,0.88,0.44,1470,0,A,TSIPOURA 2015,,Unchecked,,0,0,15.17,0,0,0,0,2,1288.7,1.967547002,1.354022668,442,100-150,100-150
1397556000003,REGION1,SITE1,121_T10,121_TS_0314_102,TSIPOURA,0.43,0.74,CHILIADOU,,2014,March,3/31/2014,4/30/2014,2.3,4.01,4.16,-3.61,4.18,2.3,"MICROLINE 0,8-1,3 mm",MICROLINE,FEEDUS,326,0,0,149060,342.838,147210,590.3121,0,0,0,247.4741,272.4998,1.317309569,1.196331153,1850,0,0,2.39,2.33,1.85,326,0,-,TSIPOURA 2014,,Unchecked,,0,0,15.17,0,0,0,0,2,2790,1.86,1.327584222,472,0-20,0-20
1397556000004,REGION1,SITE1,121_T9,121_TS_0314_102,TSIPOURA,0.46,0.78,CHILIADOU,,2014,March,3/31/2014,4/30/2014,3.08,5.27,5.59,-5.72,5.6,3.08,"MICROLINE 0,8-1,3 mm",MICROLINE,FEEDUS,361,0,0,118875,366.135,117425,618.82975,0,0,0,252.69475,291.445,1.428601109,1.238655664,1450,0,0,2.5,2.42,1.79,361,0,-,TSIPOURA 2014,,Unchecked,,0,0,15.17,0,0,0,0,2,2575,2.145833333,1.346614082,472,0-20,0-20
1397556000005,REGION1,SITE2,119_50,119_TS_0812_101,TSIPOURA,9.58,10.03,KASTELLA,,2013,December,3/31/2014,4/30/2014,311.91,328.43,330.97,-0.77,312.65,311.91,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,3010,0,0,74095,23110.97145,73675,24197.08025,0,0,0,1086.1088,-76.4827,2.771361396,-39.35530519,550,0,0,0.42,0.43,0.17,2585,0,A,TSIPOURA 2014,,Unchecked,,0,0,15.27,0,0,0,0,2,1810,2.397827383,-7.275915942,413,300-380,300-380
