"","Middle","Region","Site","Unit","Batch","Species","Start.Fish.Density","End.Fish.Density","Hatchery","Lot.Quality","Origin.Year","Origin.Month","From","To","Start.Av..Wt.","End.Av.Wt.","Model.End.Av..Wt..Act..Feed","Av..Wt..Deviation....","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Sugg..Feed","Actual.Feed","Feed.Category","Supplier","Period.Feed.Qty","Model.Feed.Qty","Feed.Deviation....","Opening.Fish.No","Opening.Biomass","Closing.Fish.No","Closing.Biomass","Harvest.Biomass","Transfer....Kg.","Transfer....Kg..1","Biomass.Produced","Biomass.Produced.Before.Sampl.","Econ..FCR.Period","Econ.FCR.Period.Before.Sampl.","Mortality.No","Model.Mortality.No","Mortality.Deviation....","SFR.Period....","SFR.Period.....Before.Sampl.","SGR.Period....","Max.Feed.Qty","Food.Price","Current.Grading","Feeding.Policy","Group.Tag","Vaccinated","Feeder","Feeding.Rate..Kg...Hour.","Fastings.No","Avg..Temp.","Avg..Oxygene","Transfer....No.","Transfer....No..1","Harvest..No.","Sampling..No.","LTD.Mortality.No","LTD.Mortality..","LTD.Econ..FCR","Period.Day.Degrees","Start.Av..Weight.Category","End.Av..Weight.Category","PRODUCT.TYPE","GROUPING.PROD..BGT"
"1",1363429800000,"GREECE","PETALAS","AKK01","BAS01032013NIR","BASS",0.41,0.59,"NIREUS","",2013,"March","01/03/13","31/03/13",3.7,5.4,4.96,8.87,4.96,5.13,"GR IR. POW.1,5","POWER","IRIDA",306.5,346.7398944,11.61,110000,407,109100,589.14,0,0,0,182.14,134.136,1.682771494,2.284994334,900,1612,44.17,2.07,2.17,1.26,306.5,2.008,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,4,14.98,0,0,0,0,1,900,0.818181818,1.682771494,461,"A 1-300","A 1-300",NA,NA
"2",1.36602e+12,"GREECE","PETALAS","AKK01","BAS01032013NIR","BASS",0.59,0.97,"NIREUS","",2013,"March","31/03/13","30/04/13",5.4,9,8.94,0.67,8.96,9.37,"GR IR. POW.1,5","POWER","IRIDA",561,630.6482117,11.04,109100,589.14,107775,969.975,0,0,0,380.835,376.524,1.473078892,1.489944864,1325,1601,17.24,2.45,2.45,1.7,561,2.017,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,2,15.92,0,0,0,0,2,2225,2.022727273,1.540921,505,"A 1-300","A 1-300",NA,NA
"3",1368655200000,"GREECE","PETALAS","AKK01","BAS01032013NIR","BASS",0.97,1.81,"NIREUS","",2013,"March","30/04/13","31/05/13",9,17,17.23,-1.33,17.12,19.07,"GR IR. POW.1,5","POWER","IRIDA",1099,1348.305753,18.49,107775,969.975,106735,1814.495,0,0,0,844.52,857.3282,1.301330934,1.281889479,1040,1281,18.81,2.63,2.62,2.05,749,2.018,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,3,17.97,0,0,0,0,2,3265,2.968181818,1.379400993,595,"A 1-300","A 1-300",NA,NA
"4",1371074400000,"GREECE","PETALAS","AKK01","BAS01032013NIR","BASS",1.81,2.71,"NIREUS","",2013,"March","31/05/13","25/06/13",17,25.5,28.26,-9.77,27.94,29.61,"GR IR. POW. 2","POWER","IRIDA",1512.5,1695.045155,10.77,106735,1814.495,106225,2708.7375,0,0,0,894.2425,1153.4315,1.691375662,1.311304572,510,988,48.38,2.71,2.58,1.62,1462.5,1.701,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,1,11.93,0,0,0,0,2,3775,3.431818182,1.47345212,537,"A 1-300","A 1-300",NA,NA
"5",1372370400000,"GREECE","PETALAS","AKK01","BAS01032013NIR","BASS",2.71,3.08,"NIREUS","",2013,"March","25/06/13","30/06/13",25.5,29,27.89,3.98,27.56,28.68,"GR IR. POW. 2","POWER","IRIDA",325,434.6862086,25.23,106225,2708.7375,106135,3077.915,0,0,0,369.1775,216.3431,0.88033534,1.502243427,130,228,42.98,2.25,2.31,2.57,325,1.701,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,1,20.25,0,0,0,0,2,3865,3.513636364,1.372750537,126,"A 1-300","A 1-300",NA,NA
"6",1389135600000,"GREECE","PETALAS","AKK02","BAS01032013NIR","BASS",1.08,4.74,"NIREUS","",2013,"March","09/12/13","06/02/14",151.42,176.53,179.67,-1.75,179.68,195.82,"GR IR. PLUS 4,5 V","PLUS","IRIDA",4190,6368.230821,34.2,19961,3022.49462,75125,13261.81625,0,0,8759.07343,1480.2482,1716.89195,2.830606381,2.440456431,1875,1293,-45.01,7.09,6.19,0.26,3000,1.123,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,17,17.31,0,0,4,0,1,52430,47.66363636,2.198786778,1037,"A 1-300","A 1-300",NA,NA
"7",1395268200001,"GREECE","PETALAS","AKK02","BAS01032013NIR","BASS",4.74,5.34,"NIREUS","",2013,"March","06/02/14","30/04/14",176.53,202.7,205.24,-1.24,202.4,220.87,"GR B. EF. YM. 467 4.5MM","YM","BIOMAR",4875,7606.126008,35.91,75125,13261.81625,73780,14955.206,0,0,0,1693.38975,1671.25575,2.878841094,2.916968274,1405,1560,9.94,0.42,0.42,0.17,3675,1.03,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,28,16.21,0,0,0,0,2,53775,48.88636364,2.277944098,1358,"A 1-300","A 1-300",NA,NA
"8",1401530400000,"GREECE","PETALAS","AKK02","BAS01032013NIR","BASS",5.34,6.79,"NIREUS","",2013,"March","30/04/14","01/07/14",202.7,261,264.15,-1.19,238.1,267.96,"GR IR. PLUS 4,5 V","PLUS","IRIDA",8675,9232.29634,6.04,73780,14955.206,72790,18998.19,0,0,0,4042.984,2376.093,2.14569239,3.650951373,990,876,-13.01,0.83,0.87,0.41,6012.5,1.121,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,15,18.95,0,0,0,0,2,54765,49.78636364,2.234391666,1189,"A 1-300","A 1-300",NA,NA
"9",1405504800000,"GREECE","PETALAS","AKK02","BAS01032013NIR","BASS",6.79,7.94,"NIREUS","",2013,"March","01/07/14","31/07/14",261,309.21,310.2,-0.32,309.21,303.91,"GR IR. PLUS 6 V","PLUS","IRIDA",6912.5,6014.465587,-14.93,72790,18998.19,71900,22232.199,0,0,0,3234.009,3234.009,2.137439939,2.137439939,890,403,-120.84,1.12,1.12,0.57,6912.5,1.12,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,6,22.85,0,0,0,0,2,55655,50.59545455,2.220025577,708,"A 1-300","B 300-365",NA,NA
"10",1414751400000,"GREECE","PETALAS","AKK02","BAS01032013NIR","BASS",7.94,10.69,"NIREUS","",2013,"March","31/07/14","31/01/15",309.21,551,539.65,2.1,558.78,530.14,"GR IR. PLUS 6 V","PLUS","IRIDA",34725,33018.54572,-5.17,71900,22232.199,54317,29928.667,6099.7595,0,0,13796.2275,14218.81376,2.516992417,2.442186851,3479,1505,-131.16,0.66,0.41,0.31,34525,1.12,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,47,21.01,0,0,0,2,2,59074,53.70363636,2.327318524,3901,"B 300-365","C 365-600",NA,NA
"11",1423911600000,"GREECE","PETALAS","AKK02","BAS01032013NIR","BASS",10.69,10.18,"NIREUS","",2013,"March","31/01/15","28/02/15",551,530,552.47,-4.07,542.83,553.94,"GR IR. PLUS 6 V","PLUS","IRIDA",2375,2595.23365,8.49,54317,29928.667,53777,28501.81,0,0,0,-1426.857,-736.89809,-1.664497564,-3.222969407,540,87,-520.69,0.29,0.29,-0.14,2375,1.12,"","GR BASS SMOOTHLY","AKK01\BAS01032013NIR","Unchecked",NA,0,10,15.34,0,0,0,0,2,59614,54.19454545,2.493887195,449,"C 365-600","C 365-600",NA,NA
"12",11397599200000,"GREECE","PETALAS","AKZ09","BAS01042014VMI","BASS",0.86,1.18,"VONITSA","44-63%14,3",2014,"April","01/04/14","30/04/14",8.33,11.5,10.99,4.64,11.02,13.81,"GR IR. POW.1,5","POWER","IRIDA",390.5,819.3399516,52.34,103800,864.654,102830,1182.545,0,0,0,317.891,268.5326,1.22840848,1.454199602,970,1242,21.9,1.33,1.36,1.11,390.5,1.932,"","GR BASS SMOOTHLY","","Unchecked",NA,0,4,16.63,0,0,0,0,1,970,0.934489403,1.228393023,494,"A 1-300","A 1-300",NA,NA
"13",11401357600000,"GREECE","PETALAS","AKZ09","BAS01042014VMI","BASS",1.18,1.97,"VONITSA","44-63%14,3",2014,"April","30/04/14","27/06/14",11.5,21.15,24.59,-13.99,19.27,35.58,"GR IR. POW. 2","POWER","IRIDA",1636.5,3039.069005,46.15,102830,1182.545,93035,1967.69025,0,0,0,785.14525,610.23945,2.084327709,2.681734195,2795,1998,-39.89,1.83,1.92,1.05,1236.5,1.604,"","GR BASS SMOOTHLY","","Unchecked",NA,0,5,18.77,0,0,0,0,2,3765,3.62716763,1.811357292,1103,"A 1-300","A 1-300",NA,NA
"14",1.1404036e+13,"GREECE","PETALAS","AKZ09","BAS01042014VMI","BASS",1.97,1.99,"VONITSA","44-63%14,3",2014,"April","27/06/14","01/07/14",21.15,21.51,21.71,-0.92,21.24,23.75,"GR IR. POW. 2","POWER","IRIDA",64,301.0705197,78.74,93035,1967.69025,92445,1988.49195,0,0,0,20.8017,-4.15845,3.076671618,-15.39034977,1040,165,-530.3,0.81,0.81,0.42,64,1.604,"","GR BASS SMOOTHLY","","Unchecked",NA,0,1,21.7,0,0,0,0,2,4355,4.195568401,1.814312057,108,"A 1-300","A 1-300",NA,NA
"15",1.1404252e+13,"GREECE","PETALAS","AKZ09","BAS01042014VMI","BASS",1.99,2.54,"VONITSA","44-63%14,3",2014,"April","01/07/14","02/07/14",21.51,23,21.82,5.41,21.84,22.59,"GR IR. POW. 2","POWER","IRIDA",38,135.6800184,71.99,92445,1988.49195,110356,2538.188,0,0,0,549.69605,421.68309,0.069129112,0.090115067,850,72,-1080.56,1.69,1.73,6.7,38,1.604,"","GR BASS SMOOTHLY","","Unchecked",NA,0,0,22,0,0,0,0,2,4705,4.532755299,1.241083262,44,"A 1-300","A 1-300",NA,NA
"16",1.1405548e+13,"GREECE","PETALAS","AKZ09","BAS01042014VMI","BASS",2.54,4.03,"VONITSA","44-63%14,3",2014,"April","02/07/14","31/07/14",23,37.09,37.19,-0.27,37.13,42.72,"GR IR. POW. 2","POWER","IRIDA",1981,2771.84401,28.53,110356,2538.188,108586,4027.45474,0,0,0,1489.26674,1493.61018,1.330184813,1.326316616,1120,1047,-6.97,2.12,2.12,1.65,1681,1.607,"","GR BASS SMOOTHLY","","Unchecked",NA,0,1,22.88,0,0,0,0,2,5475,5.274566474,1.278295795,686,"A 1-300","A 1-300",NA,NA
"17",11408874400000,"GREECE","PETALAS","AKZ09","BAS01042014VMI","BASS",4.03,7.77,"VONITSA","44-63%14,3",2014,"April","31/07/14","17/09/14",37.09,69.44,68.12,1.94,67.83,76.24,"GR IR. SMART 3","SMART","IRIDA",4550,5816.920415,21.78,108586,4027.45474,111861,7767.62784,0,0,0,3740.1731,3560.07689,1.216521235,1.278062284,1830,1569,-16.63,1.66,1.69,1.31,4000,1.229,"","GR BASS SMOOTHLY","","Unchecked",NA,0,5,23.41,0,0,0,0,2,7305,7.037572254,1.232149399,1151,"A 1-300","A 1-300",NA,NA
"18",11417258800000,"GREECE","PETALAS","DIX02","BAS01042014VMI","BASS",4.93,5.62,"VONITSA","44-63%14,3",2014,"April","29/11/14","29/11/14",125.52,143.01,125.52,13.93,125.52,126.54,"","","",0,186.2303425,100,110016,13809.20832,110016,15733.38816,0,0,0,1924.17984,0,0,0,0,33,100,0,0,0,NA,0,"","GR BASS SMOOTHLY","","Unchecked",NA,0,1,20,0,0,1,0,1,9150,8.815028902,1.201413315,20,"A 1-300","A 1-300",NA,NA
"19",11423823400000,"GREECE","PETALAS","DIX02","BAS01042014VMI","BASS",5.62,8.07,"VONITSA","44-63%14,3",2014,"April","29/11/14","30/04/15",143.01,220.17,197,11.76,200.64,227.32,"GR IR. PLUS 4,5 V","PLUS","IRIDA",13500,20704.21543,34.8,110016,15733.38816,102651,22600.67067,0,0,0,6867.28251,4862.50848,1.965843109,2.776344773,3365,4013,16.15,0.47,0.49,0.28,11600,1.117,"","GR BASS SMOOTHLY","","Unchecked",NA,0,41,16.28,0,0,1,0,2,12515,12.05684008,1.38674073,2509,"A 1-300","A 1-300",NA,NA
"20",11433455200000,"GREECE","PETALAS","DIX02","BAS01042014VMI","BASS",8.07,8.42,"VONITSA","44-63%14,3",2014,"April","30/04/15","10/07/15",220.17,232.17,263.51,-11.89,266.64,306.09,"GR IR. PLUS 4,5 V","PLUS","IRIDA",8440,17119.05634,50.7,102651,22600.67067,101486,23562.00462,0,0,0,961.33395,4459.55637,8.779467322,1.892564932,1235,1368,9.72,0.52,0.48,0.07,6840,1.139,"","GR BASS SMOOTHLY","","Unchecked",NA,0,8,19.6,0,0,0,0,2,13680,13.17919075,1.753662516,1418,"A 1-300","A 1-300",NA,NA
"21",11440021600000,"GREECE","PETALAS","DIX02","BAS01042014VMI","BASS",8.42,10.37,"VONITSA","44-63%14,3",2014,"April","10/07/15","29/09/15",232.17,288.98,315.94,-8.53,319.69,351.73,"GR IR. PLUS 6 V","PLUS","IRIDA",16462.5,24085.65787,31.65,101486,23562.00462,100481,29036.99938,0,0,0,5474.99476,8560.76627,3.006852193,1.923017109,1005,1558,35.49,0.78,0.74,0.27,16037.5,1.139,"","GR BASS SMOOTHLY","","Unchecked",NA,0,11,26.38,0,0,0,0,2,14685,14.14739884,1.99631913,2175,"A 1-300","A 1-300",NA,NA
"22",21371333600000,"GREECE","PETALAS","AKS07","BAS01062013NIR","BASS",0.2,0.7,"NIREUS","",2013,"June","01/06/13","30/06/13",1.95,7,7.78,-10.03,7.87,6.17,"GR IR. POW.1,5","POWER","IRIDA",640,455.013196,-40.66,102300,199.485,100375,702.625,0,0,0,503.14,590.46625,1.272011766,1.083889215,1925,1715,-12.24,5.52,5.14,4.41,509,2.022,"","GR BASS SMOOTHLY","AKS07\BAS01062013NIR","Unchecked",NA,0,0,13.02,0,0,0,0,1,1925,1.88172043,1.271999126,621,"A 1-300","A 1-300",NA,NA
"23",21388660400000,"GREECE","PETALAS","AKS02","BAS01062013NIR","BASS",0.94,4.53,"NIREUS","",2013,"June","28/11/13","06/02/14",116.89,142.05,149.62,-5.06,145.92,170.26,"GR IR. PLUS 4,5 V","PLUS","IRIDA",5462.5,8805.859928,37.97,22480,2627.6872,89371,12695.15055,0,0,8303.2433,1764.22005,2110.08582,3.096269085,2.588757267,5105,1858,-174.76,6.97,5.92,0.28,4712.5,1.123,"","GR BASS SMOOTHLY","AKS07\BAS01062013NIR","Unchecked",NA,0,19,17.62,0,0,3,0,1,92980.76,54.58162569,1.905786308,1248,"A 1-300","A 1-300",NA,NA
"24",21401530400001,"GREECE","PETALAS","AKS02","BAS01062013NIR","BASS",4.66,6.18,"NIREUS","",2013,"June","30/04/14","01/07/14",147.5,198.19,201.39,-1.59,182.81,211.45,"GR IR. PLUS 4,5 V","PLUS","IRIDA",8625,10294.57021,16.22,88396,13038.41,87276,17297.23044,0,0,0,4258.82044,2916.51556,2.025208651,2.957296069,1120,1558,28.11,0.92,0.96,0.48,8625,1.12,"","GR BASS SMOOTHLY","AKS07\BAS01062013NIR","Unchecked",NA,0,17,18.95,0,0,0,0,2,95075.76,55.81143394,2.17274214,1189,"A 1-300","A 1-300",NA,NA
