"","Middle","Region","Site","Unit","Batch","Species","Start.Fish.Density","End.Fish.Density","Hatchery","Lot.Quality","Origin.Year","Origin.Month","From","To","Start.Av..Wt.","End.Av.Wt.","Model.End.Av..Wt..Act..Feed","Av..Wt..Deviation....","Av..Wt..Before.Sampl.","Model.End.Av..Wt..Sugg..Feed","Actual.Feed","Feed.Category","Supplier","Period.Feed.Qty","Model.Feed.Qty","Feed.Deviation....","Opening.Fish.No","Opening.Biomass","Closing.Fish.No","Closing.Biomass","Harvest.Biomass","Transfer....Kg.","Transfer....Kg..1","Biomass.Produced","Biomass.Produced.Before.Sampl.","Econ..FCR.Period","Econ.FCR.Period.Before.Sampl.","Mortality.No","Model.Mortality.No","Mortality.Deviation....","SFR.Period....","SFR.Period.....Before.Sampl.","SGR.Period....","Max.Feed.Qty","Food.Price","Current.Grading","Feeding.Policy","Group.Tag","Vaccinated","Feeder","Feeding.Rate..Kg...Hour.","Fastings.No","Avg..Temp.","Avg..Oxygene","Transfer....No.","Transfer....No..1","Harvest..No.","Sampling..No.","LTD.Mortality.No","LTD.Mortality..","LTD.Econ..FCR","Period.Day.Degrees","Start.Av..Weight.Category","End.Av..Weight.Category","PRODUCT.TYPE","GROUPING.PROD..BGT","Mortality.perc","Transfer.perc","Fasting.perc","Harvest.perc"
"21",1.441404e+12,"GREECE","ASTAKOS","ASK03","BRE03082015VON","BREAM",0.36,4.08,"VONITSA","",2015,"August","8/3/2015","10/7/2015",2.87,33.07,33.38,-0.93,33.96,34.86,"GR IR. POW. 2","POWER","IRIDA",4133.5,4341.226376,4.78,126500,363.055,123485,4083.64895,0,0,0,3720.59395,3830.4956,1.110978531,1.079103184,3015,5741,47.48,4.14,4.06,3.76,2259.5,1.684,"","BREAM GROWTH MODEL 1-10-14-SMOOTHLY-PROTOTYPE P.K. ALL",NA,"Unchecked",NA,0,1,26.13,0,0,0,0,1,3015,2.383399209,1.110977038,1725,"A 1-300","A 1-300",NA,NA,0.0238339920948617,0,7.90513833992095e-06,0
"6",1465401600000,"GREECE","ASTAKOS","ASS16","BRE04092014VON","BREAM",3.19,5.13,"VONITSA","",2014,"September","6/1/2015","7/5/2015",94,153.93,129.42,18.94,129.78,136.23,"GR IR. PLUS B 4.5 A","PLUS","IRIDA",5415,6476.104341,16.38,94893,8919.942,93348,14369.05764,0,0,0,5449.11564,3194.76144,0.993739234,1.694962238,1605,1015,-58.13,1.39,1.53,1.45,3600,1.165,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,5,19.97,0,0,0,0,2,14557.99,12.94043671,1.454709904,700,"A 1-300","A 1-300",NA,NA,0.0169137871075843,0,5.26909255687985e-05,0
"12",1467993600000,"GREECE","ASTAKOS","ASS16","BRE04092014VON","BREAM",5.13,6.29,"VONITSA","",2014,"September","7/5/2015","7/31/2015",153.93,191.52,186.7,2.58,186.74,196.81,"GR IR. PLUS B 4.5 A","PLUS","IRIDA",5137.5,6775.131563,24.17,93348,14369.05764,91984,17616.77568,0,0,0,3247.71804,2808.03452,1.581879934,1.829571525,1714,778,-120.31,1.24,1.26,0.84,4887.5,1.165,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,4,23.62,0,0,0,0,2,15921.99,14.15288126,1.478593413,635,"A 1-300","A 1-300",NA,NA,0.0183614003513734,0,4.28504092214081e-05,0
"17",1471104000002,"GREECE","ASTAKOS","ASS16","BRE04092014VON","BREAM",6.29,8.57,"VONITSA","",2014,"September","7/31/2015","9/15/2015",191.52,263,265.94,-1.11,263.34,278.33,"GR.AOUASOJA ST.GRE. 6.0 (SAN) ","AQUASOJA STANDARD GREEN","SORGAL",12150,14257.35456,14.78,91984,17616.77568,91245,23997.435,0,0,0,6380.65932,6411.68262,1.904191932,1.894978389,739,938,21.22,1.28,1.28,0.69,7800,1.085,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,6,26.33,0,0,0,0,2,16660.99,14.80977021,1.58274383,1235,"A 1-300","A 1-300",NA,NA,0.00803400591407201,0,6.52287354322491e-05,0
"3",1491431400000,"GREECE","ASTAKOS","ASS08","BRE09082014VON-GE","BREAM",3.99,5.42,"VONITSA","",2014,"August","3/20/2015","5/29/2015",133.79,184.62,179.54,2.83,177.32,183.84,"GR IR. PLUS B 4.5 A","PLUS","IRIDA",7412.5,8073.387985,8.19,83544,11177.35176,82248,15184.62576,0,0,0,4007.274,3406.8636,1.849761209,2.17575485,1296,1836,29.41,0.81,0.83,0.46,6365,1.165,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,4,16.95,0,0,1,0,1,6310,6.532091097,1.661319487,1206,"A 1-300","A 1-300",NA,NA,0.0155127836828498,0,4.78789619841042e-05,0
"8",1497175200001,"GREECE","ASTAKOS","ASS08","BRE09082014VON-GE","BREAM",5.42,8.31,"VONITSA","",2014,"August","5/29/2015","7/31/2015",184.62,286.8,275.06,4.27,280.31,279.13,"GR IR. PLUS B 4.5 A","PLUS","IRIDA",13700,14290.28348,4.13,82248,15184.62576,81116,23264.0688,0,0,0,8079.44304,7553.0002,1.695661438,1.813848754,1171,1192,1.76,1.15,1.16,0.7,13400,1.165,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,9,21.42,0,0,0,0,2,7481,7.744306418,1.674473218,1369,"A 1-300","A 1-300",NA,NA,0.0142374282657329,0,0.000109425153195214,0
"16",1501884000001,"GREECE","ASTAKOS","ASS08","BRE09082014VON-GE","BREAM",8.31,10.73,"VONITSA","",2014,"August","7/31/2015","9/15/2015",286.8,372,369.21,0.76,371.84,372.3,"GR IR. PLUS B 4.5 A","PLUS","IRIDA",13200,13733.82388,3.89,81116,23264.0688,80736,30033.792,0,0,0,6769.7232,6756.80544,1.949858157,1.953585924,380,774,50.9,1.08,1.08,0.57,10800,1.166,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,5,26.33,0,0,0,0,2,7861,8.137681159,1.729663535,1235,"A 1-300","C 365-600",NA,NA,0.00468464914443513,0,6.16401203215149e-05,0
"1",1.515429e+12,"GREECE","ASTAKOS","ASP01","BRE11072014VONx","BREAM",5.66,6.58,"VONITSA","",2014,"July","12/11/2014","4/1/2015",140.85,176.23,177.66,-0.8,167.22,188.7,"GR IR. SMART 4.5","SMART","IRIDA",673.5,879.777091,23.45,8032,1131.3072,7471,1316.61433,0,0,0,185.30713,117.99342,3.63450667,5.707945409,561,224,-150.45,0.5,0.51,0.2,408,1.287,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,23,15.43,0,0,2,0,1,929,11.05952381,1.869438979,1732,"A 1-300","A 1-300",NA,NA,0.0698456175298805,0,0.00286354581673307,0
"2",1521734400000,"GREECE","ASTAKOS","ASP01","BRE11072014VONx","BREAM",6.58,6.91,"VONITSA","",2014,"July","4/1/2015","5/6/2015",176.23,188.87,191.79,-1.52,192.38,195.24,"GR IR. PLUS B 4.5 A","PLUS","IRIDA",258,310.0870863,16.8,7471,1316.61433,7316,1381.77292,0,0,0,65.15859,90.83775,3.959570028,2.84022887,165,72,-129.17,0.55,0.54,0.2,246,1.165,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,5,16.19,0,0,0,0,2,1084,12.9047619,1.968253943,585,"A 1-300","A 1-300",NA,NA,0.0220853968678892,0,0.000669254450542096,0
"5",1526659200000,"GREECE","ASTAKOS","ASP01","BRE11072014VONx","BREAM",6.91,10.71,"VONITSA","",2014,"July","5/6/2015","7/24/2015",188.87,307.2,289.9,5.97,295.69,299.21,"GR IR. PLUS B 4.5 A","PLUS","IRIDA",1373,1501.459043,8.56,7316,1381.77292,6973,2142.1056,0,0,0,760.33268,680.07345,1.805788487,2.018899576,214,91,-135.16,1,1.02,0.62,1349,1.165,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,10,20.39,0,0,0,0,2,1298,15.45238095,1.908804004,1630,"A 1-300","B 300-365",NA,NA,0.0292509568069984,0,0.00136686714051394,0
"20",1533700800000,"GREECE","ASTAKOS","ASP01","BRE11072014VONx","BREAM",10.71,10.65,"VONITSA","",2014,"July","7/24/2015","10/16/2015",307.2,467.17,429.94,8.66,432.46,450.84,"GR IR.PLUS B 6.0 A","PLUS","IRIDA",1788,2111.123975,15.31,6973,2142.1056,4560,2130.2952,0,1081.03,0,1069.2196,910.942,1.672247684,1.96280334,99,53,-86.79,-0.01,-0.19,0.5,1463,1.165,"","GR BREAM SMOOTHLY",NA,"Unchecked",NA,0,15,25.94,0,1,0,0,2,1380,16.42857143,1.816223333,2206,"B 300-365","C 365-600",NA,NA,0.0141976193890721,0.000143410296859315,0.00215115445288972,0
