0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.663;3.465;3.267;2.970;2.673;1.980;1.487;1.122;1.086;1.056;1.030;1.020;1.010;1.010;1.010;1.000;0.990;0.992;1.006;1.015;1.024;0.000;0.000;0.000;0.000;0.000
2.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.812;3.614;3.416;3.094;2.772;2.079;1.504;1.138;1.102;1.071;1.044;1.035;1.025;1.025;1.025;1.015;1.005;1.007;1.021;1.030;1.039;0.000;0.000;0.000;0.000;0.000
3.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.960;3.762;3.564;3.218;2.871;2.178;1.521;1.154;1.118;1.086;1.059;1.049;1.040;1.040;1.040;1.030;1.020;1.022;1.036;1.045;1.054;0.000;0.000;0.000;0.000;0.000
5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.059;3.861;3.663;3.317;2.970;2.228;1.578;1.208;1.170;1.137;1.109;1.099;1.089;1.090;1.090;1.080;1.070;1.072;1.086;1.095;1.104;0.000;0.000;0.000;0.000;0.000
7.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.158;3.960;3.762;3.416;3.069;2.277;1.635;1.262;1.222;1.188;1.158;1.148;1.139;1.139;1.140;1.130;1.120;1.122;1.136;1.145;1.154;0.000;0.000;0.000;0.000;0.000
9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.208;4.010;3.812;3.465;3.119;2.302;1.655;1.281;1.240;1.206;1.176;1.166;1.156;1.157;1.158;1.148;1.138;1.139;1.153;1.162;1.171;0.000;0.000;0.000;0.000;0.000
11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.257;4.059;3.861;3.515;3.168;2.327;1.675;1.300;1.259;1.223;1.193;1.183;1.173;1.174;1.175;1.165;1.155;1.157;1.171;1.180;1.189;0.000;0.000;0.000;0.000;0.000
13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.307;4.109;3.911;3.564;3.218;2.351;1.695;1.318;1.277;1.241;1.210;1.200;1.190;1.191;1.193;1.183;1.173;1.174;1.188;1.197;1.206;0.000;0.000;0.000;0.000;0.000
15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.356;4.158;3.960;3.614;3.267;2.376;1.715;1.337;1.295;1.259;1.228;1.218;1.208;1.209;1.210;1.200;1.190;1.192;1.206;1.215;1.224;0.000;0.000;0.000;0.000;0.000
17.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.406;4.208;4.010;3.663;3.317;2.401;1.733;1.354;1.311;1.274;1.242;1.233;1.223;1.224;1.225;1.215;1.205;1.207;1.221;1.230;1.239;0.000;0.000;0.000;0.000;0.000
20.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.455;4.257;4.059;3.713;3.366;2.426;1.750;1.370;1.327;1.289;1.257;1.247;1.238;1.239;1.240;1.230;1.220;1.222;1.236;1.245;1.254;0.000;0.000;0.000;0.000;0.000
