0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.735;3.644;3.553;3.090;2.626;1.977;1.540;1.178;1.130;1.088;1.050;1.037;1.024;1.018;1.011;0.998;0.985;0.972;0.986;0.995;1.004;0.000;0.000;0.000;0.000;0.000
2.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.782;3.693;3.604;3.137;2.669;2.014;1.575;1.212;1.163;1.119;1.081;1.068;1.054;1.048;1.041;1.028;1.015;1.002;1.016;1.025;1.034;0.000;0.000;0.000;0.000;0.000
3.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.828;3.742;3.655;3.184;2.713;2.052;1.611;1.246;1.195;1.151;1.111;1.098;1.085;1.078;1.072;1.058;1.045;1.032;1.046;1.055;1.065;0.000;0.000;0.000;0.000;0.000
5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.890;3.807;3.723;3.247;2.770;2.102;1.658;1.291;1.239;1.192;1.151;1.138;1.125;1.119;1.112;1.099;1.086;1.073;1.087;1.096;1.105;0.000;0.000;0.000;0.000;0.000
7.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.952;3.872;3.791;3.310;2.828;2.152;1.706;1.337;1.282;1.234;1.192;1.179;1.166;1.159;1.152;1.139;1.126;1.113;1.127;1.136;1.145;0.000;0.000;0.000;0.000;0.000
9.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.979;3.900;3.821;3.337;2.853;2.174;1.727;1.356;1.301;1.252;1.209;1.196;1.183;1.177;1.170;1.157;1.144;1.131;1.145;1.154;1.163;0.000;0.000;0.000;0.000;0.000
11.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.006;3.928;3.851;3.365;2.878;2.196;1.748;1.376;1.320;1.271;1.227;1.214;1.201;1.194;1.188;1.175;1.162;1.148;1.163;1.172;1.181;0.000;0.000;0.000;0.000;0.000
13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.033;3.957;3.881;3.392;2.904;2.218;1.768;1.396;1.339;1.289;1.245;1.232;1.219;1.212;1.205;1.192;1.179;1.166;1.180;1.189;1.198;0.000;0.000;0.000;0.000;0.000
15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.060;3.985;3.911;3.420;2.929;2.240;1.789;1.416;1.358;1.307;1.263;1.249;1.236;1.230;1.223;1.210;1.197;1.184;1.198;1.207;1.216;0.000;0.000;0.000;0.000;0.000
17.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.091;4.018;3.945;3.451;2.958;2.265;1.813;1.439;1.380;1.328;1.283;1.270;1.256;1.250;1.243;1.230;1.217;1.204;1.218;1.227;1.236;0.000;0.000;0.000;0.000;0.000
20.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.122;4.050;3.979;3.483;2.986;2.290;1.837;1.461;1.402;1.349;1.303;1.290;1.277;1.270;1.264;1.250;1.237;1.224;1.238;1.247;1.256;0.000;0.000;0.000;0.000;0.000
22.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.153;4.083;4.013;3.514;3.015;2.315;1.861;1.484;1.423;1.370;1.323;1.310;1.297;1.290;1.284;1.271;1.257;1.244;1.258;1.268;1.277;0.000;0.000;0.000;0.000;0.000
25.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.184;4.115;4.047;3.545;3.044;2.340;1.884;1.506;1.445;1.391;1.343;1.330;1.317;1.310;1.304;1.291;1.278;1.265;1.279;1.288;1.297;0.000;0.000;0.000;0.000;0.000
30.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.199;4.131;4.064;3.561;3.059;2.353;1.896;1.518;1.456;1.402;1.353;1.340;1.327;1.321;1.314;1.301;1.288;1.275;1.289;1.298;1.307;0.000;0.000;0.000;0.000;0.000
35.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.215;4.148;4.081;3.577;3.073;2.365;1.908;1.529;1.467;1.412;1.364;1.350;1.337;1.331;1.324;1.311;1.298;1.285;1.299;1.308;1.317;0.000;0.000;0.000;0.000;0.000
40.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.230;4.164;4.098;3.592;3.087;2.378;1.920;1.540;1.478;1.422;1.374;1.360;1.347;1.341;1.334;1.321;1.308;1.295;1.309;1.318;1.327;0.000;0.000;0.000;0.000;0.000
45.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.246;4.180;4.115;3.608;3.102;2.391;1.932;1.552;1.489;1.433;1.384;1.371;1.357;1.351;1.344;1.331;1.318;1.305;1.319;1.328;1.337;0.000;0.000;0.000;0.000;0.000
50.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.261;4.196;4.132;3.624;3.116;2.403;1.944;1.563;1.499;1.443;1.394;1.381;1.368;1.361;1.354;1.341;1.328;1.315;1.329;1.338;1.347;0.000;0.000;0.000;0.000;0.000
55.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.307;4.245;4.183;3.671;3.159;2.441;1.979;1.597;1.532;1.475;1.424;1.411;1.398;1.391;1.385;1.372;1.358;1.345;1.359;1.369;1.378;0.000;0.000;0.000;0.000;0.000
60.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.354;4.294;4.234;3.718;3.203;2.478;2.015;1.631;1.565;1.506;1.454;1.441;1.428;1.422;1.415;1.402;1.389;1.376;1.390;1.399;1.408;0.000;0.000;0.000;0.000;0.000
65.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.400;4.342;4.285;3.765;3.246;2.516;2.051;1.665;1.597;1.537;1.485;1.472;1.458;1.452;1.445;1.432;1.419;1.406;1.420;1.429;1.438;0.000;0.000;0.000;0.000;0.000
70.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.447;4.391;4.336;3.812;3.289;2.553;2.086;1.699;1.630;1.569;1.515;1.502;1.489;1.482;1.476;1.462;1.449;1.436;1.450;1.459;1.469;0.000;0.000;0.000;0.000;0.000
