 0 ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10 ; 11 ; 12 ; 13 ; 14 ; 15 ; 16 ; 17 ; 18 ; 19 ; 20 ; 21 ; 22 ; 23 ; 24 ; 25 ; 26 ; 27 ; 28 ; 29 ; 30 ; 31 ; 32 ; 33 ; 34 ; 35 ;;;;
2.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.340;1.340;1.340;1.387;1.362;1.340;1.340;1.340;1.340;1.340;1.340;1.340;1.340;1.340;1.340;1.340;1.340;1.340;0.000;0.000;0.000;;;;
20.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.500;1.500;1.500;1.500;1.590;1.816;1.797;1.687;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;0.000;0.000;0.000;;;;
30.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.600;1.600;1.600;1.600;1.721;1.728;1.600;1.938;1.600;1.600;1.600;1.600;1.600;1.600;1.692;1.600;1.629;1.600;0.000;0.000;0.000;;;;
40.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.680;1.740;1.680;0.000;0.000;0.000;;;;
50.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;1.750;0.000;0.000;0.000;;;;
60.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.800;1.800;1.800;1.800;1.800;1.800;1.800;1.800;1.800;1.800;1.800;1.800;1.800;1.800;1.827;1.800;1.800;1.800;0.000;0.000;0.000;;;;
70.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.850;1.850;1.850;1.850;1.850;1.850;1.850;1.850;1.850;1.850;1.850;1.850;1.955;1.955;1.850;1.850;1.850;1.850;0.000;0.000;0.000;;;;
80.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;1.900;0.000;0.000;0.000;;;;
90.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;1.940;0.000;0.000;0.000;;;;
100.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.970;1.970;1.970;1.970;1.970;1.970;1.970;1.970;1.970;1.970;1.970;1.970;1.970;1.970;2.026;1.996;1.970;1.970;0.000;0.000;0.000;;;;
110.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.010;2.010;2.010;2.010;2.010;2.010;2.010;2.010;2.010;2.010;2.010;2.010;2.010;2.010;2.270;2.137;2.010;2.010;0.000;0.000;0.000;;;;
120.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.040;2.040;2.040;2.040;2.040;2.040;2.040;2.040;2.040;2.040;2.040;2.040;2.040;2.040;2.294;2.163;2.040;2.040;0.000;0.000;0.000;;;;
130.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.070;2.070;2.070;2.070;2.070;2.070;2.070;2.070;2.070;2.070;2.070;2.070;2.070;2.370;2.117;2.140;2.070;2.070;0.000;0.000;0.000;;;;
140.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.100;2.100;2.100;2.100;2.111;2.100;2.100;2.100;2.100;2.100;2.100;2.100;2.303;2.268;2.100;2.132;2.100;2.100;0.000;0.000;0.000;;;;
150.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.120;2.120;2.120;2.155;2.172;2.120;2.120;2.120;2.120;2.120;2.315;2.299;2.120;2.146;2.135;2.138;2.120;2.120;0.000;0.000;0.000;;;;
160.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.150;2.150;2.150;2.150;2.162;2.150;2.150;2.150;2.150;2.150;2.242;2.469;2.150;2.150;2.150;2.166;2.150;2.150;0.000;0.000;0.000;;;;
170.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.170;2.170;2.170;2.170;2.170;2.170;2.170;2.170;2.170;2.170;2.170;2.262;2.170;2.170;2.170;2.209;2.170;2.170;0.000;0.000;0.000;;;;
180.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.190;2.190;2.190;2.190;2.190;2.205;2.190;2.190;2.190;2.190;2.190;2.254;2.283;2.190;2.190;2.222;2.190;2.190;0.000;0.000;0.000;;;;
190.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.210;2.210;2.210;2.210;2.210;2.213;2.210;2.210;2.210;2.210;2.210;2.210;2.249;2.222;2.210;2.225;2.210;2.210;0.000;0.000;0.000;;;;
200.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.240;2.240;2.240;2.240;2.240;2.240;2.240;2.240;2.240;2.240;2.240;2.240;2.240;2.240;2.335;2.240;2.240;2.240;0.000;0.000;0.000;;;;
210.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.260;2.260;2.260;2.260;2.260;2.260;2.267;2.260;2.260;2.260;2.260;2.260;2.260;2.260;2.260;2.260;2.260;2.260;0.000;0.000;0.000;;;;
220.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.280;2.280;2.280;2.280;2.344;2.280;2.305;2.307;2.280;2.280;2.280;2.280;2.280;2.280;2.280;2.296;2.280;2.280;0.000;0.000;0.000;;;;
230.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.290;2.290;2.290;2.290;2.354;2.290;2.290;2.290;2.290;2.290;2.290;2.290;2.290;2.290;2.290;2.295;2.290;2.290;0.000;0.000;0.000;;;;
240.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.310;2.336;2.310;2.310;0.000;0.000;0.000;;;;
250.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.330;2.330;2.330;2.330;2.330;2.330;2.330;2.330;2.330;2.330;2.330;2.338;2.330;2.330;2.330;2.330;2.330;2.330;0.000;0.000;0.000;;;;
260.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.350;2.350;2.350;2.350;2.350;2.350;2.350;2.350;2.350;2.350;2.403;2.362;2.350;2.350;2.408;2.350;2.350;2.350;0.000;0.000;0.000;;;;
270.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.360;2.360;2.360;2.360;2.360;2.360;2.360;2.429;2.360;2.360;2.496;2.442;2.371;2.360;2.418;2.366;2.360;2.360;0.000;0.000;0.000;;;;
280.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.380;2.380;2.380;2.380;2.380;2.380;2.380;2.380;2.398;2.380;2.487;2.476;2.380;2.396;2.496;2.380;2.380;2.380;0.000;0.000;0.000;;;;
290.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.390;2.390;2.390;2.390;2.390;2.390;2.390;2.390;2.390;2.390;2.493;2.526;2.469;2.434;2.420;2.390;2.390;2.390;0.000;0.000;0.000;;;;
300.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.410;2.410;2.410;2.410;2.410;2.410;2.410;2.410;2.410;2.480;2.465;2.557;2.560;2.507;2.410;2.415;2.410;2.410;0.000;0.000;0.000;;;;
310.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.420;2.420;2.420;2.420;2.420;2.420;2.420;2.420;2.420;2.420;2.563;2.532;2.582;2.555;2.481;2.420;2.420;2.420;0.000;0.000;0.000;;;;
320.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.440;2.440;2.440;2.440;2.440;2.440;2.440;2.440;2.440;2.440;2.658;2.553;2.562;2.538;2.502;2.443;2.440;2.440;0.000;0.000;0.000;;;;
330.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.450;2.450;2.450;2.450;2.450;2.450;2.450;2.450;2.450;2.450;2.450;2.621;2.563;2.592;2.463;2.459;2.450;2.450;0.000;0.000;0.000;;;;
340.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.470;2.470;2.470;2.470;2.470;2.470;2.470;2.470;2.470;2.470;2.470;2.691;2.529;2.520;2.470;2.491;2.470;2.470;0.000;0.000;0.000;;;;
350.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.480;2.480;2.480;2.480;2.480;2.480;2.480;2.480;2.480;2.480;2.480;2.701;2.643;2.480;2.482;2.507;2.480;2.480;0.000;0.000;0.000;;;;
360.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.490;2.490;2.490;2.490;2.490;2.490;2.490;2.490;2.490;2.490;2.490;2.490;2.490;2.568;2.490;2.539;2.490;2.490;0.000;0.000;0.000;;;;
370.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.510;2.586;2.510;2.510;0.000;0.000;0.000;;;;
380.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.520;2.520;2.520;2.520;2.520;2.520;2.520;2.520;2.520;2.520;2.520;2.604;2.604;2.520;2.520;2.607;2.520;2.520;0.000;0.000;0.000;;;;
390.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.530;2.530;2.530;2.530;2.530;2.530;2.530;2.530;2.530;2.530;2.530;2.614;2.530;2.530;2.586;2.616;2.530;2.530;0.000;0.000;0.000;;;;
400.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.540;2.540;2.540;2.540;2.540;2.540;2.540;2.540;2.540;2.540;2.540;2.564;2.568;2.586;2.591;2.642;2.540;2.540;0.000;0.000;0.000;;;;
410.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.560;2.560;2.560;2.560;2.560;2.560;2.560;2.560;2.560;2.560;2.560;2.560;2.616;2.560;2.631;2.663;2.560;2.560;0.000;0.000;0.000;;;;
420.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.570;2.570;2.570;2.570;2.570;2.570;2.570;2.570;2.570;2.570;2.570;2.570;2.570;2.571;2.669;2.723;2.570;2.570;0.000;0.000;0.000;;;;
430.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.580;2.580;2.580;2.580;2.580;2.580;2.580;2.580;2.580;2.580;2.580;2.580;2.580;2.580;2.709;2.580;2.580;2.580;0.000;0.000;0.000;;;;
440.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;2.590;0.000;0.000;0.000;;;;
450.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;2.600;0.000;0.000;0.000;;;;
460.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;2.610;0.000;0.000;0.000;;;;
470.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;2.620;0.000;0.000;0.000;;;;
480.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;2.630;0.000;0.000;0.000;;;;
490.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;2.640;0.000;0.000;0.000;;;;
500.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;2.650;0.000;0.000;0.000;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
