0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
0.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.602;1.517;1.416;1.352;1.244;1.197;1.197;1.197;1.073;1.027;1.016;0.995;0.985;0.997;1.007;0.987;0.998;1.037;1.068;1.150;1.150;1.150;1.150;0.000;0.000;0.000
1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.765;1.765;1.626;1.529;1.558;1.344;1.344;1.242;1.181;1.130;1.065;1.022;1.012;1.023;1.023;1.033;1.065;1.136;1.159;1.220;1.220;1.220;1.220;0.000;0.000;0.000
5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.802;1.910;1.794;1.714;1.636;1.472;1.408;1.401;1.397;1.305;1.199;1.151;1.088;1.068;1.079;1.089;1.107;1.211;1.247;1.220;1.220;1.220;1.220;0.000;0.000;0.000
14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.810;1.919;1.808;1.725;1.696;1.508;1.458;1.422;1.418;1.331;1.256;1.218;1.181;1.162;1.147;1.158;1.207;1.364;1.404;1.320;1.320;1.320;1.320;0.000;0.000;0.000
18.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.713;1.816;1.755;1.735;1.707;1.648;1.488;1.440;1.404;1.345;1.298;1.252;1.217;1.201;1.191;1.214;1.273;1.406;1.448;1.410;1.410;1.410;1.410;0.000;0.000;0.000
35.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.840;1.951;1.876;1.872;1.891;1.757;1.583;1.549;1.456;1.381;1.322;1.274;1.233;1.223;1.212;1.249;1.312;1.365;1.433;1.450;1.450;1.450;1.450;0.000;0.000;0.000
60.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.022;2.144;2.017;1.988;1.910;1.786;1.669;1.634;1.519;1.410;1.375;1.325;1.266;1.234;1.262;1.282;1.376;1.562;1.640;1.440;1.440;1.440;1.440;0.000;0.000;0.000
80.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.158;2.288;2.143;2.064;1.966;1.833;1.690;1.679;1.612;1.522;1.465;1.431;1.406;1.379;1.352;1.382;1.406;1.598;1.678;1.640;1.640;1.640;1.640;0.000;0.000;0.000
100.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.514;2.664;2.497;2.363;2.122;1.968;1.709;1.677;1.648;1.562;1.520;1.490;1.465;1.451;1.407;1.417;1.492;1.649;1.732;1.600;1.600;1.600;1.600;0.000;0.000;0.000
150.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.433;2.579;2.511;2.408;2.353;2.144;1.880;1.753;1.713;1.624;1.586;1.545;1.530;1.500;1.445;1.448;1.606;1.813;1.904;1.740;1.740;1.740;1.740;0.000;0.000;0.000
200.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.970;3.148;2.983;2.764;2.639;2.232;1.952;1.949;1.847;1.768;1.729;1.675;1.632;1.606;1.542;1.645;1.689;1.879;1.973;1.910;1.910;1.910;1.910;0.000;0.000;0.000
250.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.024;3.205;3.053;2.790;2.613;2.340;2.222;2.103;2.024;1.992;1.971;1.894;1.818;1.798;1.683;1.800;1.908;2.228;2.340;1.980;1.980;1.980;1.980;0.000;0.000;0.000
300.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.697;3.697;3.788;3.276;2.828;2.401;2.289;2.230;2.148;2.107;2.044;1.994;1.945;1.915;1.811;1.935;2.096;2.451;2.523;2.350;2.350;2.350;2.350;0.000;0.000;0.000
350.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.096;4.096;4.015;3.501;3.276;2.747;2.543;2.466;2.312;2.210;2.135;2.125;2.004;1.973;1.896;1.945;2.146;2.507;2.581;2.530;2.530;2.530;2.530;0.000;0.000;0.000
400.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.133;4.133;4.096;3.599;3.510;2.950;2.950;2.890;2.829;2.605;2.573;2.468;2.377;2.349;2.284;2.392;2.575;2.941;3.028;2.590;2.590;2.590;2.590;0.000;0.000;0.000
450.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.275;4.275;4.174;3.860;4.018;3.662;3.510;3.481;3.409;3.307;3.152;2.891;2.738;2.640;2.563;2.759;2.951;3.287;3.384;3.040;3.040;3.040;3.040;0.000;0.000;0.000
600.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.347;4.347;4.198;4.066;4.047;3.900;3.533;3.534;3.701;3.623;3.562;3.367;3.348;3.316;3.244;3.312;3.381;3.859;3.985;3.390;3.390;3.390;3.390;0.000;0.000;0.000
1000.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.575;4.575;4.664;4.518;4.486;4.324;3.917;3.879;4.062;3.978;3.871;3.734;3.712;3.677;3.677;3.672;3.748;4.279;4.404;4.420;4.420;4.420;4.420;0.000;0.000;0.000
