0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
0.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.070;1.600;1.510;1.400;1.300;1.250;1.250;1.250;1.140;1.120;1.090;1.090;1.060;1.070;1.090;1.110;1.120;1.220;1.290;1.150;1.150;1.150;1.150;0.000;0.000;0.000
1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.070;1.550;1.470;1.440;1.410;1.240;1.240;1.180;1.140;1.110;1.100;1.080;1.080;1.080;1.080;1.080;1.090;1.250;1.270;1.220;1.220;1.220;1.220;0.000;0.000;0.000
5.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.820;1.620;1.550;1.510;1.370;1.330;1.320;1.270;1.220;1.170;1.160;1.140;1.140;1.130;1.120;1.120;1.290;1.390;1.220;1.220;1.220;1.220;0.000;0.000;0.000
14.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.900;1.600;1.580;1.570;1.470;1.420;1.370;1.330;1.240;1.200;1.180;1.170;1.160;1.140;1.150;1.180;1.300;1.440;1.320;1.320;1.320;1.320;0.000;0.000;0.000
18.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.970;1.760;1.630;1.620;1.500;1.430;1.380;1.350;1.270;1.240;1.220;1.210;1.200;1.180;1.180;1.210;1.350;1.500;1.410;1.410;1.410;1.410;0.000;0.000;0.000
35.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.070;1.800;1.700;1.660;1.560;1.490;1.440;1.390;1.330;1.300;1.250;1.230;1.220;1.210;1.200;1.280;1.390;1.560;1.450;1.450;1.450;1.450;0.000;0.000;0.000
60.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.120;1.980;1.760;1.700;1.600;1.550;1.500;1.430;1.360;1.340;1.290;1.280;1.250;1.240;1.220;1.260;1.480;1.690;1.440;1.440;1.440;1.440;0.000;0.000;0.000
80.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.130;2.020;1.780;1.750;1.700;1.660;1.560;1.480;1.460;1.400;1.330;1.310;1.270;1.300;1.290;1.310;1.530;1.730;1.640;1.640;1.640;1.640;0.000;0.000;0.000
100.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.170;2.090;1.960;1.850;1.800;1.700;1.620;1.590;1.570;1.520;1.430;1.420;1.390;1.370;1.360;1.380;1.580;1.800;1.600;1.600;1.600;1.600;0.000;0.000;0.000
150.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;2.270;2.160;2.060;2.030;1.900;1.760;1.710;1.640;1.600;1.560;1.480;1.470;1.440;1.440;1.430;1.510;1.710;2.000;1.740;1.740;1.740;1.740;0.000;0.000;0.000
200.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;2.650;2.340;2.270;2.230;2.060;1.900;1.830;1.790;1.710;1.670;1.590;1.570;1.560;1.590;1.550;1.600;1.770;2.060;1.910;1.910;1.910;1.910;0.000;0.000;0.000
250.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;2.930;2.510;2.380;2.300;2.120;2.070;2.000;1.940;1.870;1.820;1.710;1.660;1.640;1.670;1.640;1.730;2.110;2.400;1.980;1.980;1.980;1.980;0.000;0.000;0.000
300.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;3.350;3.560;3.300;2.610;2.240;2.130;2.100;2.080;2.000;1.880;1.800;1.780;1.770;1.790;1.760;1.870;2.270;2.590;2.350;2.350;2.350;2.350;0.000;0.000;0.000
350.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;4.160;3.930;3.510;3.080;2.580;2.420;2.300;2.150;2.060;1.990;1.920;1.900;1.870;1.840;1.840;1.930;2.330;2.610;2.530;2.530;2.530;2.530;0.000;0.000;0.000
400.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;4.330;4.040;3.550;3.230;2.700;2.650;2.590;2.460;2.290;2.240;2.210;2.150;2.120;2.090;2.070;2.300;2.680;3.100;2.590;2.590;2.590;2.590;0.000;0.000;0.000
450.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;4.410;4.110;3.800;3.590;3.280;3.270;3.230;2.870;2.840;2.710;2.540;2.470;2.410;2.390;2.360;2.580;2.930;3.500;3.040;3.040;3.040;3.040;0.000;0.000;0.000
600.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;4.570;4.080;3.970;3.860;3.720;3.370;3.300;3.020;2.950;2.880;2.830;2.820;2.790;2.730;2.690;2.810;3.290;3.690;3.390;3.390;3.390;3.390;0.000;0.000;0.000
1000.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.010;5.050;4.500;4.390;4.470;4.310;3.710;3.630;3.500;3.420;3.330;3.280;2.970;2.940;2.870;2.830;2.960;3.660;3.900;4.420;4.420;4.420;4.420;0.000;0.000;0.000
