Region	Site	Unit	Batch	Species	Start Fish Density	End Fish Density	Hatchery	Lot Quality	Origin Year	Origin Month	From	To	Start Av. Wt.	End Av.Wt.	Model End Av. Wt. Act. Feed	Av. Wt. Deviation (%)	Av. Wt. Before Sampl.	Model End Av. Wt. Sugg. Feed	Actual Feed	Feed Category	Supplier	Period Feed Qty	Model Feed Qty	Feed Deviation (%)	Opening Fish No	Opening Biomass	Closing Fish No	Closing Biomass	Harvest Biomass	Transfer - (Kg)	Transfer + (Kg)	Biomass Produced	Biomass Produced Before Sampl.	Econ. FCR Period	Econ FCR Period Before Sampl.	Mortality No	Model Mortality No	Mortality Deviation (%)	SFR Period (%)	SFR Period (%) Before Sampl.	SGR Period (%)	Max Feed Qty	Food Price	Current Grading	Feeding Policy	Group Tag	Vaccinated	Feeder	Feeding Rate (Kg / Hour)	Fastings No	Avg. Temp.	Avg. Oxygene	Transfer - (No)	Transfer + (No)	Harvest (No)	Sampling (No)	LTD Mortality No	LTD Mortality %	LTD Econ. FCR	Period Day Degrees	Start Av. Weight Category	End Av. Weight Category	cage comment	feeding test	aminolab check date	pre-grow code
d	d	d	d	d	c	c	d	d	c	d	c	c	c	c	c	c	c	c	d	d	d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	d	d	d	d	c	c	c	c	c	c	c	c	c	c	c	c	d	d	d	d	d	d
																																		c																																
ashdod	quality fish	QF.04	08032012	sea bream	0	0	Nireus		2012	March	3/26/2012	4/24/2012	3	6	8.41	-28.66	3	4.88	PF	Raanan starter	raanan	1001	354.7651073	-182.16	128926	386.778	128926	773.556	0	0	0	386.778	0	2.588047924	0	0	0	0	6.19	0	2.39	1001	4.493		quality fish conservative summer	march	Unchecked		0	0	19.30	0	0	0	0	2	0	0	1.848582446	579	01  0-50	01  0-50			24/09/2013	
ashdod	quality fish	QF.17	08032012	sea bream	0	0	Nireus		2012	March	3/26/2012	4/24/2012	3	6	8.85	-32.2	3	4.88	PF	Raanan starter	raanan	359	117.634987	-205.18	42750	128.25	42750	256.5	0	0	0	128.25	0	2.799220273	0	0	0	0	6.69	0	2.39	359	4.493		quality fish conservative summer	march	Unchecked		0	0	19.30	0	0	0	0	2	0	0	1.999443052	579	01  0-50	01  0-50				
ashdod	quality fish	QF.28 old	08032012Nir	sea bream	0	0	Nireus		2012	March	3/26/2012	4/24/2012	3	6	8.69	-30.96	6.81	4.88	PF	Raanan starter	raanan	935	314.6508888	-197.15	114348	343.044	114348	686.088	0	0	0	343.044	435.66588	2.725597882	2.146140065	0	0	0	6.51	6.07	2.39	935	4.493		quality fish conservative summer	march	Unchecked		0	0	19.30	0	0	0	0	2	0	0	2.044171597	579	01  0-50	01  0-50				
ashdod	quality fish	QF.29	08032012	sea bream	0	0	Nireus		2012	March	3/26/2012	4/24/2012	3	6	9.24	-35.06	7.18	4.88	PF	Raanan starter	raanan	1001	307.4056743	-225.63	111715	335.145	111715	670.29	0	0	0	335.145	466.9687	2.986766922	2.143612623	0	0	0	7.14	6.45	2.39	1001	4.493		quality fish conservative summer	march	Unchecked		0	0	19.30	0	0	0	0	2	0	0	2.293031566	579	01  0-50	01  0-50				
ashdod	quality fish	QF.04	08032012	sea bream	0	0	Nireus		2012	March	4/24/2012	5/9/2012	6	11	12.95	-15.06	6	7.97	PF	Raanan starter	raanan	1235	354.1513091	-248.72	128926	773.556	128926	1418.186	0	0	0	644.63	0	1.915827684	0	0	0	0	7.74	0	4.04	1235	4.493		quality fish conservative summer	march	Unchecked		0	0	20.88	0	0	0	0	2	0	0	1.294972035	334	01  0-50	01  0-50			24/09/2013	
ashdod	quality fish	QF.17	08032012	sea bream	0	0	Nireus		2012	March	4/24/2012	5/9/2012	6	11	13.52	-18.64	6	7.97	PF	Raanan starter	raanan	443	117.4314604	-277.24	42750	256.5	42750	470.25	0	0	0	213.75	0	2.07251462	0	0	0	0	8.37	0	4.04	443	4.493		quality fish conservative summer	march	Unchecked		0	0	20.88	0	0	0	0	2	0	0	1.400966184	334	01  0-50	01  0-50				
ashdod	quality fish	QF.28 old	08032012Nir	sea bream	0	0	Nireus		2012	March	4/24/2012	5/9/2012	6	11	13.31	-17.36	9.09	7.97	PF	Raanan starter	raanan	1153	314.1064943	-267.07	114348	686.088	114348	1257.828	0	0	0	571.74	353.33532	2.016650925	3.263189199	0	0	0	8.15	9.04	4.04	1153	4.493		quality fish conservative summer	march	Unchecked		0	0	20.88	0	0	0	0	2	0	0	1.393399136	334	01  0-50	01  0-50				
ashdod	quality fish	QF.29	08032012	sea bream	0	0	Nireus		2012	March	4/24/2012	5/9/2012	6	11	14.02	-21.54	9.4	7.97	PF	Raanan starter	raanan	1235	306.8738152	-302.45	111715	670.29	111715	1228.865	0	0	0	558.575	379.831	2.210983306	3.251446038	0	0	0	8.93	9.73	4.04	1235	4.493		quality fish conservative summer	march	Unchecked		0	0	20.88	0	0	0	0	2	0	0	1.543540194	334	01  0-50	01  0-50				
ashdod	quality fish	QF.04	08032012	sea bream	0	0	Nireus		2012	March	5/9/2012	5/24/2012	11	17	18.1	-6.08	14.91	15.56	PF	Raanan starter	raanan	1211	777.2109722	-55.81	128926	1418.186	128926	2191.742	0	0	0	773.556	504.10066	1.565497521	2.402297985	0	0	0	4.54	4.87	2.9	1211	4.493		quality fish conservative summer	march	Unchecked		0	0	23.31	0	0	0	0	2	0	0	1.128754563	373	01  0-50	01  0-50			24/09/2013	
ashdod	quality fish	QF.17	08032012	sea bream	0	0	Nireus		2012	March	5/9/2012	5/24/2012	11	17	18.67	-8.94	15.22	15.56	PF	Raanan starter	raanan	434	257.711936	-68.41	42750	470.25	42750	726.75	0	0	0	256.5	180.405	1.692007797	2.40569829	0	0	0	4.91	5.21	2.9	434	4.493		quality fish conservative summer	march	Unchecked		0	0	23.31	0	0	0	0	2	0	0	1.2203755	373	01  0-50	01  0-50				
ashdod	quality fish	QF.28 old	08032012Nir	sea bream	0	0	Nireus		2012	March	5/9/2012	5/24/2012	11	17	18.47	-7.96	15.12	15.56	PF	Raanan starter	raanan	1130	689.329695	-63.93	114348	1257.828	114348	1943.916	0	0	0	686.088	471.11376	1.647019041	2.398571419	0	0	0	4.78	5.09	2.9	1130	4.493		quality fish conservative summer	march	Unchecked		0	0	23.31	0	0	0	0	2	0	0	1.203922982	373	01  0-50	01  0-50				
ashdod	quality fish	QF.29	08032012	sea bream	0	0	Nireus		2012	March	5/9/2012	5/24/2012	11	17	19.19	-11.41	15.52	15.56	PF	Raanan starter	raanan	1211	673.457051	-79.82	111715	1228.865	111715	1899.155	0	0	0	670.29	504.9518	1.80668069	2.398248704	0	0	0	5.24	5.5	2.9	1211	4.493		quality fish conservative summer	march	Unchecked		0	0	23.31	0	0	0	0	2	0	0	1.328205452	373	01  0-50	01  0-50				
